Specimen_number,d__Bacteria.p__Acidobacteriota.c__Holophagae.o__Subgroup_7.f__Subgroup_7.g__Subgroup_7,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Dietziaceae.g__Dietzia,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Weeksellaceae.g__Chryseobacterium,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Weeksellaceae.g__Empedobacter,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Sphingobacterium,d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter,d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Listeriaceae.g__Listeria,d__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus,d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus,d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea,d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Subdoligranulum,d__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.Selenomonadales.f__Veillonellaceae.g__Dialister,d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Brevundimonas,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Shewanellaceae.g__Shewanella,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Massilia,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Noviherbaspirillum,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__TRA3.20.g__TRA3.20,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Stenotrophomonas,shannon_promote,shannon_inhibit,Time,group,Batch
E3,0.000209231,0.0,0.003109932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002834127,0.004878884,0.000104615,0.0,0.0,0.900700923,0.00038042,0.003702475,1.184578123,23,AI-noLM,Union74
E30,0.000109853,0.0,0.0,0.0,0.000160554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037181,0.005137739,0.000980226,0.000185905,0.000118303,0.0,0.0,0.03184891,0.004005408,0.683626595,1.428647147,40,AI-noLM,Union74
E31,0.000608247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00189815,0.177503251,0.00091237,0.000115357,0.001310877,0.0,0.0,0.620128781,0.046331641,0.713690982,1.384734201,56,AI-noLM,Union74
E32,0.000105604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005846606,0.001804864,0.000249609,0.00027841,0.0,0.0,0.799324136,0.014304504,0.13021239,0.839736138,65,noAI-noLM,Union74
E33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000100956,0.055273439,0.0,0.0,0.0,0.0,0.0,0.834745035,0.003755565,0.258926125,0.0,43,AI-noLM,Union74
E34,0.0,0.0,0.000718444,0.000190176,0.0,0.0,0.0,0.000316961,0.000538833,0.0,0.0,0.0,0.000422614,0.034485309,0.0,0.0,0.0,0.007617619,0.000570529,0.239590487,0.015805767,0.691400298,1.342060699,67,noAI-noLM,Union74
E35,0.0,0.0,0.0,0.0,0.000328623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002275083,0.018756794,0.0,0.0,0.0,0.0,0.000286492,0.076366946,0.022708697,0.90580262,0.379124924,51,AI-noLM,Union74
E36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000131988,0.025169046,0.0,0.0,0.0,0.000538104,0.000335046,0.874388288,0.00276159,0.156207279,0.0,67,noAI-noLM,Union74
E37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000186585,0.15549958,0.0,0.0,0.0,0.0,0.0,0.416484747,0.016400784,0.696064033,0.0,46,AI-noLM,Union74
E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000162235,0.008932491,0.0,0.0,0.0,0.000124062,0.0,0.783100796,0.106502777,0.419761628,0.0,55,AI-noLM,Union74
E4,0.000719956,0.0,0.001109122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000107021,0.001041018,0.00045727,0.0,0.000379436,0.0,0.0,0.828154187,0.000282145,0.012694711,1.411646891,43,AI-noLM,Union74
E40,0.001290751,0.0,0.0,0.000442543,0.0,0.0,0.0,0.0,0.0,0.0,0.000233564,0.000221272,0.0,0.014837488,0.012169937,0.006539804,0.003024045,0.0,0.0,0.198972316,0.077850715,0.77515377,1.209910538,67,AI-noLM,Union74
E41,0.000538131,0.0,0.0,0.000284296,0.0,0.0,0.0,0.0,0.0,0.0,0.000152301,0.010590015,0.0,0.02795236,0.002954645,0.003106946,0.000335063,0.000131994,0.0,0.066545503,0.003320168,0.761755754,1.133963696,41,AI-noLM,Union74
E42,0.007080559,0.0,0.000269624,0.000492357,0.0,0.0,0.0,0.0,0.0,0.000140673,0.000152396,0.000234456,0.000257901,0.07228266,0.005615211,0.00438432,0.004396042,0.0,0.0,0.322317828,0.005837944,0.554140734,1.564519323,46,noAI-noLM,Union74
E43,0.000752902,0.0,0.0,0.000188225,0.0,0.0,0.0,0.0,0.0,0.0,0.000156855,0.0,0.000826101,0.047119105,0.004161874,0.004255987,0.000909756,0.0,0.0,0.259772038,0.018676148,0.628377704,1.377693433,25,AI-noLM,Union74
E44,0.0,0.0,0.0,0.000157549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000167395,0.008734097,0.0,0.0,0.0,0.0,0.0,0.677064871,0.018315018,0.189103424,0.0,24,AI-noLM,Union74
E45,0.000183569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000770989,0.000348781,0.0,0.0,0.0,0.0,0.364411524,0.017420675,0.199570087,0.644185819,38,AI-noLM,Union74
E46,0.0,0.0,0.032302275,0.000228419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001180166,0.035823737,0.0,0.0,0.0,0.000171314,0.0,0.659712573,0.066936328,0.487087425,0.152533851,38,AI-noLM,Union74
E47,0.0,0.0,0.003522124,0.0,0.0,0.0,0.0,0.00220959,0.0,0.0,0.0,0.0,0.0,0.004853544,0.0,0.0,0.0,0.000727087,0.000311609,0.261420936,0.002011293,0.161650221,0.666693722,55,AI-noLM,Union74
E48,0.0,0.0,0.000304364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012783276,0.0,0.0,0.0,0.0,0.0,0.092552655,0.007922152,0.597270197,0.0,67,AI-noLM,Union74
E49,0.0,0.0,0.000411005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000947828,0.0,0.0,0.0,0.0,0.0,0.929365878,0.008899514,0.0615382,0.0,55,AI-noLM,Union74
E5,0.00013471,0.0,0.002503368,0.0,0.0,0.0,0.0,0.0,0.000235743,0.0,0.0,0.0,0.000101033,0.000303098,0.001740009,0.00084194,0.000830714,0.0,0.0,0.839054782,0.000707229,0.01002247,1.52248931,66,AI-noLM,Union74
E50,0.0,0.0,0.000913553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002807099,0.0,0.0,0.0,0.0,0.0,0.863365695,0.002491508,0.041403841,0.0,57,noAI-noLM,Union74
E51,0.0,0.0,0.000304469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008201635,0.0,0.0,0.0,0.0,0.0,0.866090713,0.00498568,0.087818923,0.0,38,AI-noLM,Union74
E52,0.0,0.0,0.000409549,0.0,0.0,0.0,0.0,0.000127415,0.0,0.0,0.0,0.0,0.0,0.005205821,0.0,0.0,0.0,0.0,0.0,0.902718494,0.004332117,0.065286645,0.5479334,25,noAI-noLM,Union74
E53,0.0,0.0,0.00015628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000822524,0.0,0.0,0.0,0.0,0.0,0.942612501,0.003553304,0.031689993,0.0,50,noAI-noLM,Union74
E54,0.0,0.0,0.000332948,0.000147977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001063584,0.0,0.0,0.0,0.0,0.0,0.916920231,0.004744509,0.042727157,0.0,39,AI-LM,Union74
E55,0.0,0.0,0.000132713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022418974,0.0,0.0,0.0,0.000625646,0.000388659,0.876103175,0.009460523,0.182680387,0.0,41,AI-LM,Union74
E56,0.0,0.0,0.000911284,0.000589654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000139373,0.211771643,0.0,0.0,0.0,0.000578933,0.000471723,0.60435272,0.037834361,0.743154004,0.391399364,30,noAI-LM,Union74
E57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000876424,0.016412196,0.0,0.0,0.0,0.00053508,0.00508326,0.222851608,0.012980304,0.542100065,0.0,46,noAI-LM,Union74
E58,0.0,0.0,0.000289919,0.000259927,0.0,0.0,0.0,0.000199944,0.0,0.0,0.0,0.0,0.000339905,0.038239293,0.0,0.0,0.0,0.013876115,0.00792778,0.516615348,0.012596473,0.524891991,1.075919083,36,AI-LM,Union74
E59,0.0,0.0,0.000345209,0.000177536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000907405,0.079319052,0.0,0.0,0.0,0.000641102,0.000384661,0.422900146,0.134424192,0.873545157,0.588740706,44,AI-LM,Union74
E6,0.001190137,0.0,0.002727397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000161164,0.003855547,0.000607466,0.000235548,0.001066164,0.0,0.0,0.824529214,0.048882387,0.243013674,1.443293531,14,AI-noLM,Union74
E60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000119521,0.013456041,0.0,0.0,0.0,0.000517923,0.000288842,0.666178624,0.049979582,0.34930694,0.0,34,AI-LM,Union74
E61,0.0,0.0,0.003914115,0.00073289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000144967,0.030684729,0.0,0.0,0.0,0.000330203,0.000177182,0.094728025,0.008738302,0.814795152,0.15407593,28,noAI-LM,Union74
E62,0.0,0.0,0.000103947,0.000789996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000114342,0.028866044,0.0,0.0,0.0,0.000363814,0.000582102,0.462168539,0.042472688,0.507298458,0.692012902,27,noAI-LM,Union74
E63,0.000671047,0.0,0.00016025,0.000220344,0.0,0.0,0.024808702,0.0,0.0,0.0,0.0,0.0,0.000330516,0.02742278,0.005728937,0.000681062,0.000971516,0.000510797,0.000420656,0.708485237,0.009194343,0.371095403,1.117057949,44,AI-LM,Union74
E64,0.0,0.0,0.000131076,0.000141159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000100828,0.147067424,0.0,0.0,0.0,0.000554553,0.000494056,0.668579034,0.045795985,0.66539959,0.684616475,28,AI-LM,Union74
E65,0.0,0.0,0.0,0.002031976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015056449,0.0,0.0,0.0,0.000198242,0.000198242,0.322063299,0.050551607,0.583735745,0.0,27,noAI-LM,Union74
E66,0.0,0.0,0.0,0.003378793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000132132,0.016950592,0.0,0.0,0.0,0.000386957,0.000396395,0.187069983,0.032891322,0.735922081,0.0,40,AI-LM,Union74
E67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088183081,0.0,0.0,0.0,0.0,0.0,0.866934239,0.005422198,0.341003606,0.0,49,noAI-LM,Union74
E68,0.0,0.0,0.000474918,0.003829029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000277036,0.034698724,0.0,0.0,0.0,0.000148412,0.0,0.295231028,0.01300089,0.54369474,0.658110214,41,AI-LM,Union74
E69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062072,0.093796675,0.0,0.0,0.0,0.0,0.00069831,0.721160747,0.015265843,0.448585511,0.0,31,noAI-LM,Union74
E7,0.0,0.0,0.00107528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521254698,0.051500783,0.302347077,0.0,43,noAI-noLM,Union74
E70,0.0,0.0,0.0,0.00010003,0.0,0.0,0.0,0.000170051,0.0,0.0,0.0,0.0,0.0,0.061028308,0.0,0.0,0.0,0.001050315,0.000530159,0.773412024,0.006912074,0.322578305,0.0,61,AI-LM,Union74
E71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000147261,0.376448066,0.0,0.0,0.0,0.0,0.0,0.449469861,0.054142941,0.877965225,0.0,60,noAI-LM,Union74
E72,0.0,0.0,0.0,0.000100516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012582812,0.0,0.0,0.0,0.0,0.0,0.889496048,0.014657102,0.155349028,0.0,30,noAI-LM,Union74
E73,0.0,0.0,0.000192652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000128434,0.018393652,0.0,0.0,0.0,0.0,0.0,0.402412733,0.008348241,0.271970744,0.673011162,67,AI-LM,Union74
E74,0.0,0.0,0.0,0.000134648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031603751,0.0,0.0,0.0,0.0,0.0,0.675094975,0.008011541,0.243864554,0.0,23,noAI-LM,Union74
E75,0.000661845,0.0,0.0,0.0,0.0,0.0,0.021141209,0.0,0.0,0.0,0.0,0.0,0.0,0.01609228,0.006968279,0.000510566,0.00122914,0.000104004,0.0,0.852446461,0.00430199,0.23305388,0.832431495,67,AI-LM,Union74
E8,0.000825281,0.0,0.000731261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125359,0.008075215,0.002172891,0.001055106,0.000480543,0.0,0.0,0.224445025,0.083436929,0.68826612,1.546780085,20,AI-noLM,Union74
E9,0.000591453,0.0,0.000802687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000211233,0.010635601,0.00524915,0.004340846,0.000855495,0.0,0.0,0.226019729,0.062905304,0.658787437,1.316845529,12,noAI-noLM,Union74
XH221,0.000343372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002289144,0.000317937,0.0,0.001983925,0.0,0.016297436,0.0,0.000362448,0.000483264,0.0,0.00010174,0.574855021,0.0071345,0.190966275,1.442256916,56,AI-noLM,Union34
XH222,0.000484111,0.0,0.0,0.0,0.0,0.000717521,0.0,0.0,0.0,0.000510045,0.004434801,0.0,0.0,0.02576161,0.000121028,0.000708877,0.00053598,0.00076939,0.0,0.767237802,0.092421937,0.475705614,1.16894677,45,AI-noLM,Union34
XH227,0.001030813,0.00047576,0.0,0.0,0.0,0.000111011,0.0,0.0,0.0,0.0,0.0,0.0,0.000126869,0.044658008,0.000206163,0.001443139,0.000967379,0.0,0.0,0.341976307,0.265458236,0.894809592,1.343839647,12,AI-noLM,Union34
XH228,0.000303504,0.0,0.000285651,0.000124972,0.0,0.000428476,0.0,0.0,0.0,0.000151752,0.0,0.0,0.0,0.030118277,0.001499665,0.000187458,0.000249944,0.002981477,0.0,0.719750056,0.069698728,0.473061985,1.380359135,48,AI-LM,Union34
XH229,0.001310261,0.0,0.001084354,0.0,0.000135544,0.000248498,0.0,0.00031627,0.0,0.0,0.0,0.0,0.000135544,0.044729589,0.000384042,0.001423214,0.001084354,0.002846428,0.0,0.62106357,0.01994759,0.399044813,1.811562203,44,AI-noLM,Union34
XH232,0.000239349,0.0,0.000435957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047177392,0.00403474,0.000128223,0.000230801,0.001555768,0.0,0.655602476,0.068941052,0.538599892,0.770477521,34,AI-LM,Union34
XH234,0.0,0.0,0.0,0.001877302,0.0,0.000116522,0.0,0.0,0.0,0.0,0.0,0.0,0.002692958,0.025272371,0.002123293,0.000362514,0.000304252,0.000621452,0.0,0.538157784,0.050292277,0.480114781,1.056635554,34,AI-noLM,Union34
XH235,0.00022135,0.0,0.0,0.000125111,0.0,0.001077877,0.0,0.0,0.0,0.0,0.0,0.0,0.000327213,0.089252031,0.0,0.0,0.000230974,0.0,0.0,0.745880972,0.02017169,0.454059956,1.08227737,44,noAI-LM,Union34
XH236,0.000169947,0.000219932,0.00057982,0.000109966,0.0,0.000919715,0.0,0.000329898,0.002079355,0.002359269,0.0,0.000479851,0.0,0.011406464,0.000199938,0.000989693,0.000629805,0.001199628,0.0,0.754216193,0.012616089,0.183187458,1.853166749,42,AI-noLM,Union34
XH237,0.000334284,0.0,0.001827894,0.0,0.000348509,0.0,0.0,0.000120911,0.0,0.0,0.0,0.0,0.00049787,0.005547692,0.00334284,0.000554769,0.000512095,0.000519207,0.0,0.585025498,0.070775752,0.393826445,1.604839656,53,AI-noLM,Union34
XH238,0.0,0.000373888,0.000675875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000690255,0.259830744,0.0,0.0,0.000107852,0.00184068,0.0,0.428217056,0.025870189,0.814572356,0.904141803,18,noAI-LM,Union34
XH239_2,0.000391472,0.0,0.000216707,0.0,0.0,0.000237679,0.0,0.000237679,0.0,0.0,0.0,0.0,0.0,0.020831877,0.003739951,0.000573226,0.000433415,0.000741,0.0,0.531401608,0.010269137,0.262183376,1.147092182,47,AI-noLM,Union34
XH240,0.0,0.0,0.0,0.0,0.0,0.000399466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020655319,0.000146146,0.000740474,0.000418952,0.0,0.0,0.647797578,0.007005271,0.198997642,0.931510517,55,AI-noLM,Union34
XH241,0.000359948,0.0,0.0004363,0.000109075,0.0,0.00113438,0.0,0.0,0.0,0.000370855,0.0,0.0,0.000294503,0.072938482,0.0,0.0,0.0004363,0.002497818,0.0,0.658889616,0.016143106,0.454400008,1.599406195,40,noAI-LM,Union34
XH243,0.00021821,0.0,0.000630385,0.002699339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012931,0.014935264,0.002109364,0.000484911,0.000444502,0.000484911,0.000767776,0.277256049,0.088197262,0.755245394,1.396565758,50,AI-noLM,Union34
